TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
84.752834467,-209.5,23.6124,-0.410521,11.9786,-4.57689,10.7085,6.97367,2.14684,-0.245745,0.244015,-2.83458,0.422156,-3.38435,-1.90571,-3.33867,-3.26904,-4.33274,0.316442,-1.439,-3.06325,2.91759
84.776054422,-205.544,23.5332,-3.03716,12.86,-6.36646,10.5368,5.14003,0.521393,-2.27621,-3.53631,-4.51744,-0.506241,-0.981302,1.3639,1.91383,2.14871,-0.527836,3.86969,-1.04102,-0.16498,1.78952
84.799274376,-210.574,26.8845,0.032736,15.2113,-6.16791,11.4024,4.04257,-1.18856,-2.03958,-3.04986,-5.60087,0.111355,-1.49059,-3.50802,-2.81929,-1.27149,-1.77041,7.33711,1.03778,-1.04569,2.21407
84.822494331,-210.382,26.9418,-1.11206,14.6162,-5.62281,11.7537,4.49373,0.00924674,-0.515259,-2.02367,-6.84925,-0.864555,-0.0538041,-0.541352,0.625848,1.9573,-1.89289,5.28139,1.68757,0.358599,1.37965
84.845714286,-213.549,28.3356,-3.17393,14.1616,-7.25839,8.61817,5.10581,0.775431,0.641284,-1.33553,-6.21401,-1.70508,-1.47409,-1.90179,0.174804,1.62941,-1.31134,3.75469,-2.203,-2.1775,1.01026
84.868934240,-218.767,25.3727,-0.783806,16.8549,-5.18705,7.56811,4.10137,2.95999,4.19605,4.81718,-1.28597,-2.38696,-1.58227,-0.847766,1.47797,-2.33947,-5.72301,1.21029,-1.3225,-1.85601,2.818
84.892154195,-222.634,25.9438,-2.51975,14.6268,-6.02163,7.03344,3.7399,2.44851,0.840941,0.839256,-4.10932,-3.26927,-0.615575,-0.0926714,4.28819,2.73206,-5.09433,1.39438,-2.11981,-1.76115,4.33309
84.915374150,-219.012,29.0097,1.27141,13.8359,-7.2558,9.7813,3.98543,3.62274,0.750921,0.143764,-2.68357,-2.82255,-2.65324,-3.41833,1.08658,2.30474,-3.38288,4.69545,-1.56774,-2.32461,1.60297
84.938594104,-227.234,26.3538,-0.378423,12.6931,-9.18579,8.64554,5.10688,4.52118,2.39185,1.22126,-2.27084,-0.354591,-0.305573,-2.35578,-1.38543,0.537479,-3.67964,3.96269,-0.815743,-1.4269,2.26986
84.961814059,-229.366,25.3025,1.70239,14.9477,-4.6391,8.12815,2.13613,4.43401,3.23194,2.33512,-1.98358,-1.94997,-3.57571,-2.67055,0.724583,0.551802,-3.33945,1.93301,-2.3827,-3.33368,1.87157
84.985034014,-211.816,25.6094,-7.96893,12.557,-2.09656,12.1885,2.44517,-1.67343,-0.517407,6.51323,2.75362,-2.18826,-4.40945,-0.036764,1.5996,0.830521,-2.49529,1.35817,-1.03516,-0.628699,-0.0245365
85.008253968,-199.892,15.7658,2.64377,3.221,5.28102,5.74061,2.40567,-1.58961,2.26199,2.89515,-2.65406,-5.8078,-5.17768,-0.542709,3.45941,3.15196,-2.80478,-0.66145,-0.0522963,0.486797,2.24422
85.031473923,-206.874,20.7163,0.704383,5.16532,4.43692,7.53007,4.25336,-1.67676,0.72211,0.302714,-3.13559,-1.79209,0.195426,1.69752,4.0268,1.40823,-3.20367,1.06175,0.853158,-0.358666,1.35046
85.054693878,-210.369,24.8204,-4.1181,7.25156,3.27489,5.20251,4.49909,-0.339038,-0.105901,0.876128,-3.40945,-4.74315,-0.629072,1.44129,1.20953,0.449715,-5.40635,-1.41619,-0.964347,0.181994,1.7324
85.077913832,-218.599,27.048,-7.078,6.88034,2.49524,7.53371,4.13891,2.26897,0.522244,3.26439,-0.541533,-0.92028,1.65322,2.65889,2.44874,0.616064,-4.40631,-1.49889,-0.607204,-1.3227,0.574459
85.101133787,-220.57,28.3047,-8.77624,11.3647,3.47346,8.06059,3.32183,2.31804,-3.20793,2.221,-1.68131,-1.86872,0.6594,0.468107,1.48967,-1.31205,-4.56862,-1.46703,-1.22139,-2.05118,-0.615936
85.124353741,-221.989,28.0534,-11.3992,11.3931,4.58073,10.2925,0.085879,1.72329,-2.25304,4.69558,1.01466,-0.79318,-0.0431758,-0.731437,-0.971941,-1.53811,-3.48822,1.7853,1.06962,0.194545,-1.59448
85.147573696,-220.297,30.7188,-9.75197,11.2386,1.92573,8.07983,3.43575,3.45815,-3.03255,3.11009,0.172818,-1.52797,0.209896,0.0694599,-0.0438581,-0.575653,-3.64747,-1.09461,1.09003,2.18419,0.401246
85.170793651,-219.418,30.311,-12.9506,10.4581,3.63789,8.47491,2.50463,3.79183,-4.299,1.94568,1.05299,-3.98545,0.530611,0.670234,-1.61356,-2.96128,-4.58378,0.485148,1.96217,3.52371,0.539485
85.194013605,-218.63,30.3748,-13.1932,13.3311,4.4003,7.98686,2.15439,3.75156,-3.79323,2.7084,2.45565,-2.48285,-0.322628,0.313673,-0.90976,-2.56463,-3.19484,0.58059,1.34535,0.999717,-0.0569589
85.217233560,-226.387,29.3385,-14.1069,13.501,5.61338,6.5381,1.45195,2.94182,-5.04665,2.37675,0.0550861,-5.52025,1.55279,1.18115,0.832786,-0.691044,-3.07883,0.545302,-2.43749,-0.84352,-1.12326
85.240453515,-221.866,30.3038,-13.9466,16.8732,3.35607,8.25585,1.34473,4.79886,-4.59751,3.00758,0.931634,-6.2262,1.8939,2.20649,1.30207,-1.86462,-2.92404,0.0600464,-0.987055,1.07217,1.03813
85.263673469,-229.375,31.0809,-14.4834,12.9462,3.38139,8.53977,2.1196,4.44167,-3.08184,-0.119668,0.69671,-1.3854,1.90754,-0.900642,-0.399394,-0.0626025,-2.33942,-0.15112,-1.61971,-1.21147,-0.0216468
85.286893424,-231.075,31.0869,-9.87768,9.63878,2.05793,12.28,3.48347,1.17498,-2.73407,-0.562007,-0.280592,-0.644119,2.19301,2.34037,1.10351,-1.34868,-1.89863,1.08356,-0.631732,-2.76408,-0.490192
